country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year; gdp_for_year ($) ;gdp_per_capita ($);generation
Albania;1996;male;15-24 years;17;243600;июн.98;Albania1996;;3,314,898,292;1127;Generation X
Albania;1996;male;25-34 years;14;235300;май.95;Albania1996;;3,314,898,292;1127;Generation X
Albania;1996;female;15-24 years;16;287700;май.56;Albania1996;;3,314,898,292;1127;Generation X
Albania;1996;female;75+ years;2;41200;апр.85;Albania1996;;3,314,898,292;1127;G.I. Generation
Albania;1996;female;25-34 years;10;267900;мар.73;Albania1996;;3,314,898,292;1127;Generation X
Albania;1996;male;35-54 years;12;379600;мар.16;Albania1996;;3,314,898,292;1127;Boomers
Albania;1996;female;35-54 years;9;362000;фев.49;Albania1996;;3,314,898,292;1127;Boomers
Albania;1996;male;55-74 years;3;179900;янв.67;Albania1996;;3,314,898,292;1127;Silent
Albania;1996;female;55-74 years;1;183100;0.55;Albania1996;;3,314,898,292;1127;Silent
Albania;1996;male;5-14 years;2;380400;0.53;Albania1996;;3,314,898,292;1127;Millenials
Albania;1996;female;5-14 years;1;354100;0.28;Albania1996;;3,314,898,292;1127;Millenials
Albania;1997;male;25-34 years;36;236000;15.25;Albania1997;;2,359,903,108;793;Generation X
Albania;1997;male;15-24 years;33;244400;13.май;Albania1997;;2,359,903,108;793;Generation X
Albania;1997;male;75+ years;3;25400;ноя.81;Albania1997;;2,359,903,108;793;G.I. Generation
Albania;1997;male;35-54 years;30;380800;июл.88;Albania1997;;2,359,903,108;793;Boomers
Albania;1997;female;15-24 years;21;294000;июл.14;Albania1997;;2,359,903,108;793;Generation X
Albania;1997;male;55-74 years;12;180300;июн.66;Albania1997;;2,359,903,108;793;Silent
Albania;1997;female;25-34 years;16;273900;май.84;Albania1997;;2,359,903,108;793;Generation X
Albania;1997;female;75+ years;2;42100;апр.75;Albania1997;;2,359,903,108;793;G.I. Generation
Albania;1997;female;35-54 years;7;370100;янв.89;Albania1997;;2,359,903,108;793;Boomers
Albania;1997;female;5-14 years;6;361800;янв.66;Albania1997;;2,359,903,108;793;Millenials
Albania;1997;male;5-14 years;4;381500;01.май;Albania1997;;2,359,903,108;793;Millenials
Albania;1997;female;55-74 years;0;187000;0;Albania1997;;2,359,903,108;793;Silent
Albania;1998;male;75+ years;3;25800;ноя.63;Albania1998;;2,707,123,772;899;G.I. Generation
Albania;1998;male;15-24 years;27;248800;окт.85;Albania1998;;2,707,123,772;899;Generation X
Albania;1998;female;15-24 years;32;295600;окт.83;Albania1998;;2,707,123,772;899;Generation X
Albania;1998;male;25-34 years;26;240400;окт.82;Albania1998;;2,707,123,772;899;Generation X
Albania;1998;male;35-54 years;29;388200;июл.47;Albania1998;;2,707,123,772;899;Boomers
Albania;1998;male;55-74 years;9;183800;04.сен;Albania1998;;2,707,123,772;899;Silent
Albania;1998;female;25-34 years;10;275300;мар.63;Albania1998;;2,707,123,772;899;Generation X
Albania;1998;female;55-74 years;6;188200;мар.19;Albania1998;;2,707,123,772;899;Silent
Albania;1998;female;35-54 years;9;372100;фев.42;Albania1998;;2,707,123,772;899;Boomers
Albania;1998;male;5-14 years;2;388400;0.51;Albania1998;;2,707,123,772;899;Millenials
Albania;1998;female;5-14 years;1;363800;0.27;Albania1998;;2,707,123,772;899;Millenials
Albania;1998;female;75+ years;0;42300;0;Albania1998;;2,707,123,772;899;G.I. Generation
Albania;1999;male;75+ years;3;25900;ноя.58;Albania1999;;3,414,760,915;1127;G.I. Generation
Albania;1999;male;15-24 years;24;250600;сен.58;Albania1999;;3,414,760,915;1127;Generation X
Albania;1999;female;75+ years;4;42400;сен.43;Albania1999;;3,414,760,915;1127;G.I. Generation
Albania;1999;male;35-54 years;31;391100;июл.93;Albania1999;;3,414,760,915;1127;Boomers
Albania;1999;male;25-34 years;19;242300;июл.84;Albania1999;;3,414,760,915;1127;Generation X
Albania;1999;male;55-74 years;14;185200;июл.56;Albania1999;;3,414,760,915;1127;Silent
Albania;1999;female;15-24 years;19;296800;06.апр;Albania1999;;3,414,760,915;1127;Generation X
Albania;1999;female;25-34 years;13;276500;04.июл;Albania1999;;3,414,760,915;1127;Generation X
Albania;1999;female;55-74 years;6;188800;мар.18;Albania1999;;3,414,760,915;1127;Silent
Albania;1999;female;35-54 years;5;373600;янв.34;Albania1999;;3,414,760,915;1127;Boomers
Albania;1999;female;5-14 years;1;365200;0.27;Albania1999;;3,414,760,915;1127;Millenials
Albania;1999;male;5-14 years;0;391300;0;Albania1999;;3,414,760,915;1127;Millenials
Albania;2000;male;25-34 years;17;232000;июл.33;Albania2000;0.656;3,632,043,908;1299;Generation X
Albania;2000;male;55-74 years;10;177400;май.64;Albania2000;0.656;3,632,043,908;1299;Silent
Albania;2000;female;75+ years;2;37800;май.29;Albania2000;0.656;3,632,043,908;1299;G.I. Generation
Albania;2000;male;75+ years;1;24900;04.фев;Albania2000;0.656;3,632,043,908;1299;G.I. Generation
Albania;2000;female;15-24 years;6;263900;фев.27;Albania2000;0.656;3,632,043,908;1299;Generation X
Albania;2000;male;15-24 years;5;240000;02.авг;Albania2000;0.656;3,632,043,908;1299;Generation X
Albania;2000;female;35-54 years;5;332200;янв.51;Albania2000;0.656;3,632,043,908;1299;Boomers
Albania;2000;female;25-34 years;3;245800;янв.22;Albania2000;0.656;3,632,043,908;1299;Generation X
Albania;2000;male;35-54 years;4;374700;01.июл;Albania2000;0.656;3,632,043,908;1299;Boomers
Albania;2000;male;5-14 years;1;374900;0.27;Albania2000;0.656;3,632,043,908;1299;Millenials
Albania;2000;female;5-14 years;0;324700;0;Albania2000;0.656;3,632,043,908;1299;Millenials
Albania;2000;female;55-74 years;0;168000;0;Albania2000;0.656;3,632,043,908;1299;Silent
Albania;2001;male;25-34 years;22;206484;окт.65;Albania2001;;4,060,758,804;1451;Generation X
Albania;2001;male;35-54 years;34;378826;авг.98;Albania2001;;4,060,758,804;1451;Boomers
Albania;2001;male;55-74 years;11;196670;май.59;Albania2001;;4,060,758,804;1451;Silent
Albania;2001;female;75+ years;2;47254;апр.23;Albania2001;;4,060,758,804;1451;Silent
Albania;2001;male;15-24 years;10;256039;мар.91;Albania2001;;4,060,758,804;1451;Millenials
Albania;2001;female;15-24 years;9;271359;мар.32;Albania2001;;4,060,758,804;1451;Millenials
Albania;2001;female;35-54 years;12;370191;мар.24;Albania2001;;4,060,758,804;1451;Boomers
Albania;2001;male;75+ years;1;31044;мар.22;Albania2001;;4,060,758,804;1451;Silent
Albania;2001;female;55-74 years;6;189799;мар.16;Albania2001;;4,060,758,804;1451;Silent
Albania;2001;male;5-14 years;6;321556;янв.87;Albania2001;;4,060,758,804;1451;Millenials
Albania;2001;female;25-34 years;4;222771;01.авг;Albania2001;;4,060,758,804;1451;Generation X
Albania;2001;female;5-14 years;2;307356;0.65;Albania2001;;4,060,758,804;1451;Millenials
Albania;2002;male;75+ years;4;31007;12.сен;Albania2002;;4,435,078,648;1573;Silent
Albania;2002;male;25-34 years;23;206286;ноя.15;Albania2002;;4,435,078,648;1573;Generation X
Albania;2002;male;35-54 years;35;382139;сен.16;Albania2002;;4,435,078,648;1573;Boomers
Albania;2002;male;55-74 years;13;198130;июн.56;Albania2002;;4,435,078,648;1573;Silent
Albania;2002;male;15-24 years;15;263067;05.июл;Albania2002;;4,435,078,648;1573;Millenials
Albania;2002;female;15-24 years;14;275970;05.июл;Albania2002;;4,435,078,648;1573;Millenials
Albania;2002;female;35-54 years;15;375113;4;Albania2002;;4,435,078,648;1573;Boomers
Albania;2002;female;25-34 years;7;223685;мар.13;Albania2002;;4,435,078,648;1573;Generation X
Albania;2002;female;75+ years;1;47407;02.ноя;Albania2002;;4,435,078,648;1573;Silent
Albania;2002;female;55-74 years;4;191712;02.сен;Albania2002;;4,435,078,648;1573;Silent
Albania;2002;female;5-14 years;1;304850;0.33;Albania2002;;4,435,078,648;1573;Millenials
Albania;2002;male;5-14 years;1;319473;0.31;Albania2002;;4,435,078,648;1573;Millenials
Albania;2003;female;75+ years;6;49088;дек.22;Albania2003;;5,746,945,913;2021;Silent
Albania;2003;male;55-74 years;16;201520;июл.94;Albania2003;;5,746,945,913;2021;Silent
Albania;2003;male;35-54 years;28;386196;июл.25;Albania2003;;5,746,945,913;2021;Boomers
Albania;2003;male;15-24 years;15;273235;май.49;Albania2003;;5,746,945,913;2021;Millenials
Albania;2003;female;15-24 years;14;283709;апр.93;Albania2003;;5,746,945,913;2021;Millenials
Albania;2003;female;55-74 years;9;195699;04.июн;Albania2003;;5,746,945,913;2021;Silent
Albania;2003;male;25-34 years;9;205433;апр.38;Albania2003;;5,746,945,913;2021;Generation X
Albania;2003;female;25-34 years;9;222941;04.апр;Albania2003;;5,746,945,913;2021;Generation X
Albania;2003;female;35-54 years;13;381760;мар.41;Albania2003;;5,746,945,913;2021;Boomers
Albania;2003;male;75+ years;1;32667;03.июн;Albania2003;;5,746,945,913;2021;Silent
Albania;2003;male;5-14 years;4;313204;янв.28;Albania2003;;5,746,945,913;2021;Millenials
Albania;2003;female;5-14 years;0;298477;0;Albania2003;;5,746,945,913;2021;Millenials
Albania;2004;male;75+ years;4;35526;ноя.26;Albania2004;;7,314,865,176;2544;Silent
Albania;2004;male;35-54 years;39;391767;сен.95;Albania2004;;7,314,865,176;2544;Boomers
Albania;2004;male;25-34 years;16;203938;июл.85;Albania2004;;7,314,865,176;2544;Generation X
Albania;2004;female;15-24 years;20;292268;июн.84;Albania2004;;7,314,865,176;2544;Millenials
Albania;2004;male;15-24 years;19;286768;июн.63;Albania2004;;7,314,865,176;2544;Millenials
Albania;2004;female;75+ years;3;50970;май.89;Albania2004;;7,314,865,176;2544;Silent
Albania;2004;female;25-34 years;11;222389;апр.95;Albania2004;;7,314,865,176;2544;Generation X
Albania;2004;male;55-74 years;10;207202;апр.83;Albania2004;;7,314,865,176;2544;Silent
Albania;2004;female;35-54 years;17;391436;апр.34;Albania2004;;7,314,865,176;2544;Boomers
Albania;2004;female;55-74 years;3;203841;янв.47;Albania2004;;7,314,865,176;2544;Silent
Albania;2004;female;5-14 years;3;286705;01.май;Albania2004;;7,314,865,176;2544;Millenials
Albania;2004;male;5-14 years;1;302181;0.33;Albania2004;;7,314,865,176;2544;Millenials
Albania;2005;female;15-24 years;0;281922;0;Albania2005;0.695;8,158,548,717;2931;Millenials
Albania;2005;female;25-34 years;0;190745;0;Albania2005;0.695;8,158,548,717;2931;Generation X
Albania;2005;female;35-54 years;0;386513;0;Albania2005;0.695;8,158,548,717;2931;Boomers
Albania;2005;female;5-14 years;0;276559;0;Albania2005;0.695;8,158,548,717;2931;Millenials
Albania;2005;female;55-74 years;0;210998;0;Albania2005;0.695;8,158,548,717;2931;Silent
Albania;2005;female;75+ years;0;53191;0;Albania2005;0.695;8,158,548,717;2931;Silent
Albania;2005;male;15-24 years;0;281675;0;Albania2005;0.695;8,158,548,717;2931;Millenials
Albania;2005;male;25-34 years;0;177519;0;Albania2005;0.695;8,158,548,717;2931;Generation X
Albania;2005;male;35-54 years;0;380242;0;Albania2005;0.695;8,158,548,717;2931;Boomers
Albania;2005;male;5-14 years;0;291367;0;Albania2005;0.695;8,158,548,717;2931;Millenials
Albania;2005;male;55-74 years;0;214118;0;Albania2005;0.695;8,158,548,717;2931;Silent
Albania;2005;male;75+ years;0;38471;0;Albania2005;0.695;8,158,548,717;2931;Silent
Albania;2006;female;15-24 years;0;283138;0;Albania2006;;8,992,642,349;3235;Millenials
Albania;2006;female;25-34 years;0;186391;0;Albania2006;;8,992,642,349;3235;Generation X
Albania;2006;female;35-54 years;0;388746;0;Albania2006;;8,992,642,349;3235;Boomers
Albania;2006;female;5-14 years;0;267316;0;Albania2006;;8,992,642,349;3235;Millenials
Albania;2006;female;55-74 years;0;215907;0;Albania2006;;8,992,642,349;3235;Silent
Albania;2006;female;75+ years;0;56011;0;Albania2006;;8,992,642,349;3235;Silent
Albania;2006;male;15-24 years;0;286679;0;Albania2006;;8,992,642,349;3235;Millenials
Albania;2006;male;25-34 years;0;174092;0;Albania2006;;8,992,642,349;3235;Generation X
Albania;2006;male;35-54 years;0;379076;0;Albania2006;;8,992,642,349;3235;Boomers
Albania;2006;male;5-14 years;0;282678;0;Albania2006;;8,992,642,349;3235;Millenials
Albania;2006;male;55-74 years;0;219360;0;Albania2006;;8,992,642,349;3235;Silent
Albania;2006;male;75+ years;0;40782;0;Albania2006;;8,992,642,349;3235;Silent
Albania;2007;male;75+ years;8;42366;18.88;Albania2007;;10,701,011,897;3863;Silent
Albania;2007;male;35-54 years;29;378626;июл.66;Albania2007;;10,701,011,897;3863;Boomers
Albania;2007;male;55-74 years;14;224160;июн.25;Albania2007;;10,701,011,897;3863;Silent
Albania;2007;female;75+ years;3;57404;май.23;Albania2007;;10,701,011,897;3863;Silent
Albania;2007;male;25-34 years;9;172494;май.22;Albania2007;;10,701,011,897;3863;Generation X
Albania;2007;female;15-24 years;13;281080;апр.63;Albania2007;;10,701,011,897;3863;Millenials
Albania;2007;male;15-24 years;13;288349;апр.51;Albania2007;;10,701,011,897;3863;Millenials
Albania;2007;female;25-34 years;8;183629;апр.36;Albania2007;;10,701,011,897;3863;Generation X
Albania;2007;female;55-74 years;9;221120;04.июл;Albania2007;;10,701,011,897;3863;Silent
Albania;2007;female;35-54 years;14;391811;мар.57;Albania2007;;10,701,011,897;3863;Boomers
Albania;2007;male;5-14 years;4;272497;янв.47;Albania2007;;10,701,011,897;3863;Generation Z
Albania;2007;female;5-14 years;0;256808;0;Albania2007;;10,701,011,897;3863;Generation Z
Albania;2008;male;25-34 years;21;172855;дек.15;Albania2008;;12,881,352,688;4672;Generation X
Albania;2008;male;35-54 years;37;377119;сен.81;Albania2008;;12,881,352,688;4672;Boomers
Albania;2008;male;55-74 years;21;228672;сен.18;Albania2008;;12,881,352,688;4672;Silent
Albania;2008;female;75+ years;5;59369;авг.42;Albania2008;;12,881,352,688;4672;Silent
Albania;2008;female;15-24 years;20;276073;июл.24;Albania2008;;12,881,352,688;4672;Millenials
Albania;2008;female;25-34 years;9;182663;апр.93;Albania2008;;12,881,352,688;4672;Generation X
Albania;2008;female;35-54 years;19;393832;апр.82;Albania2008;;12,881,352,688;4672;Boomers
Albania;2008;male;75+ years;2;44574;апр.49;Albania2008;;12,881,352,688;4672;Silent
Albania;2008;male;15-24 years;11;286702;мар.84;Albania2008;;12,881,352,688;4672;Millenials
Albania;2008;female;55-74 years;7;226448;03.сен;Albania2008;;12,881,352,688;4672;Silent
Albania;2008;male;5-14 years;7;262464;фев.67;Albania2008;;12,881,352,688;4672;Generation Z
Albania;2008;female;5-14 years;1;246288;0.41;Albania2008;;12,881,352,688;4672;Generation Z
Albania;2009;female;15-24 years;0;270003;0;Albania2009;;12,044,212,904;4387;Millenials
Albania;2009;female;25-34 years;0;182712;0;Albania2009;;12,044,212,904;4387;Generation X
Albania;2009;female;35-54 years;0;394286;0;Albania2009;;12,044,212,904;4387;Boomers
Albania;2009;female;5-14 years;0;236174;0;Albania2009;;12,044,212,904;4387;Generation Z
Albania;2009;female;55-74 years;0;233302;0;Albania2009;;12,044,212,904;4387;Silent
Albania;2009;female;75+ years;0;61582;0;Albania2009;;12,044,212,904;4387;Silent
Albania;2009;male;15-24 years;0;283448;0;Albania2009;;12,044,212,904;4387;Millenials
Albania;2009;male;25-34 years;0;174955;0;Albania2009;;12,044,212,904;4387;Generation X
Albania;2009;male;35-54 years;0;374365;0;Albania2009;;12,044,212,904;4387;Boomers
Albania;2009;male;5-14 years;0;253007;0;Albania2009;;12,044,212,904;4387;Generation Z
Albania;2009;male;55-74 years;0;234570;0;Albania2009;;12,044,212,904;4387;Silent
Albania;2009;male;75+ years;0;47331;0;Albania2009;;12,044,212,904;4387;Silent
Albania;2010;male;55-74 years;20;241852;авг.27;Albania2010;0.722;11,926,953,259;4359;Silent
Albania;2010;male;35-54 years;20;371611;май.38;Albania2010;0.722;11,926,953,259;4359;Generation X
Albania;2010;male;25-34 years;9;179720;05.янв;Albania2010;0.722;11,926,953,259;4359;Generation X
Albania;2010;male;75+ years;2;50767;мар.94;Albania2010;0.722;11,926,953,259;4359;Silent
Albania;2010;male;15-24 years;10;279508;мар.58;Albania2010;0.722;11,926,953,259;4359;Millenials
Albania;2010;female;25-34 years;6;183579;мар.27;Albania2010;0.722;11,926,953,259;4359;Generation X
Albania;2010;female;75+ years;2;64415;03.янв;Albania2010;0.722;11,926,953,259;4359;Silent
Albania;2010;female;35-54 years;12;394593;03.апр;Albania2010;0.722;11,926,953,259;4359;Generation X
Albania;2010;female;55-74 years;7;241491;02.сен;Albania2010;0.722;11,926,953,259;4359;Silent
Albania;2010;female;15-24 years;6;263581;фев.28;Albania2010;0.722;11,926,953,259;4359;Millenials
Albania;2010;female;5-14 years;2;223969;0.89;Albania2010;0.722;11,926,953,259;4359;Generation Z
Albania;2010;male;5-14 years;0;240939;0;Albania2010;0.722;11,926,953,259;4359;Generation Z
Antigua and Barbuda;1985;female;15-24 years;0;7709;0;Antigua and Barbuda1985;;240,923,926;3850;Generation X
Antigua and Barbuda;1985;female;25-34 years;0;6344;0;Antigua and Barbuda1985;;240,923,926;3850;Boomers
Antigua and Barbuda;1985;female;35-54 years;0;6173;0;Antigua and Barbuda1985;;240,923,926;3850;Silent
Antigua and Barbuda;1985;female;5-14 years;0;7339;0;Antigua and Barbuda1985;;240,923,926;3850;Generation X
Antigua and Barbuda;1985;female;55-74 years;0;3778;0;Antigua and Barbuda1985;;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1985;female;75+ years;0;949;0;Antigua and Barbuda1985;;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1985;male;15-24 years;0;7667;0;Antigua and Barbuda1985;;240,923,926;3850;Generation X
Antigua and Barbuda;1985;male;25-34 years;0;6194;0;Antigua and Barbuda1985;;240,923,926;3850;Boomers
Antigua and Barbuda;1985;male;35-54 years;0;5970;0;Antigua and Barbuda1985;;240,923,926;3850;Silent
Antigua and Barbuda;1985;male;5-14 years;0;7304;0;Antigua and Barbuda1985;;240,923,926;3850;Generation X
Antigua and Barbuda;1985;male;55-74 years;0;2723;0;Antigua and Barbuda1985;;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1985;male;75+ years;0;424;0;Antigua and Barbuda1985;;240,923,926;3850;G.I. Generation
Antigua and Barbuda;1986;female;15-24 years;0;7668;0;Antigua and Barbuda1986;;290,440,148;4740;Generation X
Antigua and Barbuda;1986;female;25-34 years;0;6209;0;Antigua and Barbuda1986;;290,440,148;4740;Boomers
Antigua and Barbuda;1986;female;35-54 years;0;6101;0;Antigua and Barbuda1986;;290,440,148;4740;Silent
Antigua and Barbuda;1986;female;5-14 years;0;6907;0;Antigua and Barbuda1986;;290,440,148;4740;Generation X
Antigua and Barbuda;1986;female;55-74 years;0;3764;0;Antigua and Barbuda1986;;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1986;female;75+ years;0;1014;0;Antigua and Barbuda1986;;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1986;male;15-24 years;0;7563;0;Antigua and Barbuda1986;;290,440,148;4740;Generation X
Antigua and Barbuda;1986;male;25-34 years;0;6023;0;Antigua and Barbuda1986;;290,440,148;4740;Boomers
Antigua and Barbuda;1986;male;35-54 years;0;5947;0;Antigua and Barbuda1986;;290,440,148;4740;Silent
Antigua and Barbuda;1986;male;5-14 years;0;6827;0;Antigua and Barbuda1986;;290,440,148;4740;Generation X
Antigua and Barbuda;1986;male;55-74 years;0;2771;0;Antigua and Barbuda1986;;290,440,148;4740;G.I. Generation
Antigua and Barbuda;1986;male;75+ years;0;476;0;Antigua and Barbuda1986;;290,440,148;4740;G.I. Generation
